
question,answer
experimenter,test
age,test
subject id,test
condition,test
order,test
cat,shirt
bowl,truck
tree,cupcake
scissors,tiger
balloon,NA
flower,NA
door,NA
sock,NA
fish,NA
hand,NA
test
question,answer
experimenter,test
age,test
subject id,test
condition,test
order,test
door,window green
tree,hotdog
bowl,truck
hand,NA
cat,NA
sock,NA
balloon,NA
scissors,NA
flower,NA
fish,NA
question,answer
experimenter,test
age,test
subject id,test
condition,test
order,test
scissors,tiger
sock,sock
bowl,truck
tree,hotdog
cat,NA
flower,NA
door,NA
balloon,NA
fish,NA
hand,NA
