"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","success",True
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","timeout",False
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","trial_type","preload"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","trial_index",0
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","time_elapsed",770
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","0-preload","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","success",True
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","timeout",False
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","trial_type","preload"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","trial_index",1
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","time_elapsed",11141
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","1-preload","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","success",True
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","timeout",False
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","trial_type","preload"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","trial_index",2
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","time_elapsed",21918
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","2-preload","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","rt",2898
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","response",0
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","trial_type","html-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","trial_index",3
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","time_elapsed",24819
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","3-html-button-response","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","rt",22592
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","camId","6e2f9932cde1f1c3447aa8fe785bda1cb9bfe92bcd75ad6e3dde1fc7df43e4a5"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","micId","31c81bdf45f57b356a04f7189c7ff32c20eb9c57bc02732ce9ba22ff4459275d"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","trial_type","video-config-plugin"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","trial_index",4
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","time_elapsed",47492
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","4-video-config-plugin","","plugin_version","3.0.1"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","5-consent-video","","chs_type","consent"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","5-consent-video","","trial_type","consent-video"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","5-consent-video","","trial_index",5
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","5-consent-video","","time_elapsed",89564
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","5-consent-video","","plugin_version","3.0.1"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","rt",33285
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","chs_type","consent"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","response.audio",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","response.video",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","response.Ready?",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","response.question1",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","trial_type","survey"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","trial_index",6
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","time_elapsed",123077
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","6-survey","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","rt",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","response",""
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","stimulus.0","https://raw.githubusercontent.com/rondeline/metanoise/master/mp4/directions.mp4"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","trial_type","video-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","trial_index",7
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","time_elapsed",156436
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","7-video-button-response","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","rt",17111
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","response",1
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","stimulus","
      <div style=""display: flex; flex-direction: column; align-items: center; justify-content: center; gap: 40px; max-width: 90vw; margin: auto; margin-bottom: 50px;"">
          <img src=""https://raw.githubusercontent.com/rondeline/metanoise/master/img/floatinghead.png"" style=""width: 20vw; max-width: 200px; height: auto;"">
      </div>
    "
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","trial_type","html-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","trial_index",8
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","time_elapsed",173560
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","8-html-button-response","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","9-html-button-response","","trial_type","html-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","9-html-button-response","","trial_index",9
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","9-html-button-response","","time_elapsed",187644
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","9-html-button-response","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","rt",37550
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","response",0
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","stimulus","
      <div style=""display: flex; flex-direction: column; align-items: center; justify-content: center; gap: 40px; max-width: 90vw; margin: auto; margin-bottom: 50px;"">
          <img src=""https://raw.githubusercontent.com/rondeline/metanoise/master/img/floatinghead.png"" style=""width: 20vw; max-width: 200px; height: auto;"">
      </div>
    "
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","trial_type","html-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","trial_index",10
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","time_elapsed",225209
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","10-html-button-response","","plugin_version","2.0.0"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","11-html-button-response","","trial_type","html-button-response"
"facec187-3d3f-4518-90ca-588c1a963a5e","DRKHJF","11-html-button-response","","trial_index",11
