"response_uuid","child_hashed_id","frame_id","event_number","key","value"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","success",True
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","timeout",False
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","trial_type","preload"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","trial_index",0
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","time_elapsed",4044
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","0-preload","","plugin_version","2.0.0"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","success",True
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","timeout",False
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","trial_type","preload"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","trial_index",1
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","time_elapsed",16775
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","1-preload","","plugin_version","2.0.0"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","success",True
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","timeout",False
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","trial_type","preload"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","trial_index",2
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","time_elapsed",35523
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","2-preload","","plugin_version","2.0.0"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","rt",8164
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","response",0
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","stimulus","Welcome! Press ""next"" to continue."
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","trial_type","html-button-response"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","trial_index",3
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","time_elapsed",43689
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","3-html-button-response","","plugin_version","2.0.0"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","4-video-config-plugin","","rt",12919
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","4-video-config-plugin","","camId","1191c24fed2314ae75c41df96c273c2f380399ff6e9189aa79acbeae4d44309b"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","4-video-config-plugin","","micId","7578c5de256055f1fffa3c8770a07a9b84dce1202c57ec39faa7a3342722efa6"
"559d8fce-eec3-459d-a9ea-2b56f3829bdc","VMSDDT","4-video-config-plugin","","trial_type","video-config-plugin"
